,time,open,close,high,low,MA10,Delta,Range,Unit Size,Tradesize,Margin Used,StratProfit,Strat_Balance,WinLoss,Win,Loss,Strat_Returns_pct,StratDrawdown,bhBalance,bhDrawdown,bhreturnpct
118,2010-09-28 21:00:00+00:00,1.35865,1.36264,1.36464,1.35664,1.35023,0.00399000000000016,0.008000000000000007,50000,68132.0,1362.64,199.50000000000801,14051.500000000016,Win,199.50000000000801,0.0,40.51500000000017,11826.499999999998,13626.400000000001,1203.699999999997,0.36264000000000013
119,2010-09-29 21:00:00+00:00,1.36266,1.3635,1.36836,1.35596,1.352918,0.0008399999999999519,0.012399999999999967,50000,68175.0,1363.5,41.9999999999976,14093.500000000015,Win,41.9999999999976,0.0,40.935000000000144,11784.5,13635.0,1195.0999999999985,0.3635
120,2010-09-30 21:00:00+00:00,1.36354,1.37916,1.37924,1.36194,1.355782,0.015619999999999967,0.017300000000000093,50000,68958.0,1379.16,780.9999999999984,14874.500000000013,Win,780.9999999999984,0.0,48.745000000000125,11003.500000000002,13791.599999999999,1038.5,0.37915999999999983
121,2010-10-01 21:00:00+00:00,1.3791,1.3791,1.3791,1.3791,1.361874,0.0,0.0,50000,68955.0,1379.1000000000001,0.0,14874.500000000013,Loss,0.0,0.0,48.745000000000125,11003.500000000002,13791.0,1039.0999999999985,0.3791
122,2010-10-02 21:00:00+00:00,1.3787,1.38025,1.38085,1.37802,1.36853,0.0015499999999999403,0.002829999999999888,50000,69012.5,1380.25,77.49999999999702,14952.000000000011,Win,77.49999999999702,0.0,49.52000000000012,10926.000000000004,13802.5,1027.5999999999985,0.38025
123,2010-10-03 21:00:00+00:00,1.3802,1.36857,1.38064,1.36666,1.37284,-0.01163000000000003,0.013980000000000103,50000,68428.5,1368.57,-581.5000000000015,14370.500000000007,Loss,0.0,-581.5000000000015,43.705000000000084,11507.500000000007,13685.7,1144.3999999999978,0.36857000000000006
124,2010-10-04 21:00:00+00:00,1.36851,1.38387,1.3859,1.36376,1.37401,0.01536000000000004,0.022139999999999826,50000,69193.5,1383.8700000000001,768.000000000002,15138.500000000011,Win,768.000000000002,0.0,51.385000000000105,10739.500000000004,13838.699999999999,991.3999999999996,0.3838699999999999
126,2010-10-06 21:00:00+00:00,1.39295,1.39262,1.40294,1.38576,1.380852,-0.00032999999999994145,0.017179999999999973,50000,69631.0,1392.6200000000001,-16.499999999997073,15122.000000000013,Loss,0.0,-16.499999999997073,51.220000000000134,10756.000000000002,13926.199999999999,903.8999999999996,0.3926199999999999
127,2010-10-07 21:00:00+00:00,1.39251,1.3941,1.39842,1.38334,1.383614,0.0015899999999999803,0.015079999999999982,50000,69705.0,1394.1000000000001,79.49999999999902,15201.500000000011,Win,79.49999999999902,0.0,52.0150000000001,10676.500000000004,13940.999999999998,889.1000000000004,0.39409999999999984
128,2010-10-08 21:00:00+00:00,1.3936,1.3936,1.3936,1.3936,1.386294,0.0,0.0,50000,69680.0,1393.6000000000001,0.0,15201.500000000011,Loss,0.0,0.0,52.0150000000001,10676.500000000004,13936.0,894.0999999999985,0.3936
129,2010-10-09 21:00:00+00:00,1.3935,1.39949,1.39966,1.3935,1.391292,0.00598999999999994,0.006159999999999943,50000,69974.5,1399.49,299.499999999997,15501.00000000001,Win,299.499999999997,0.0,55.01000000000009,10377.000000000005,13994.9,835.1999999999989,0.39948999999999996
130,2010-10-10 21:00:00+00:00,1.39951,1.38765,1.40129,1.38668,1.3944139999999998,-0.011859999999999982,0.014610000000000012,50000,69382.5,1387.65,-592.9999999999991,14908.000000000011,Loss,0.0,-592.9999999999991,49.0800000000001,10970.000000000004,13876.5,953.5999999999985,0.38765
131,2010-10-11 21:00:00+00:00,1.38761,1.39249,1.3936,1.37754,1.393346,0.0048799999999999955,0.016059999999999963,50000,69624.5,1392.49,243.99999999999977,15152.000000000011,Win,243.99999999999977,0.0,51.520000000000095,10726.000000000004,13924.9,905.1999999999989,0.39248999999999995
134,2010-10-14 21:00:00+00:00,1.40841,1.39772,1.41592,1.3937,1.39685,-0.010689999999999866,0.02222000000000013,50000,69886.0,1397.72,-534.4999999999933,14617.500000000016,Loss,0.0,-534.4999999999933,46.17500000000017,11260.499999999998,13977.2,852.8999999999978,0.3977200000000001
135,2010-10-16 21:00:00+00:00,1.39803,1.39893,1.40048,1.3973,1.396554,0.0008999999999999009,0.0031799999999999606,50000,69946.5,1398.93,44.99999999999504,14662.500000000011,Win,44.99999999999504,0.0,46.625000000000114,11215.500000000004,13989.3,840.7999999999993,0.39892999999999995
136,2010-10-17 21:00:00+00:00,1.39899,1.39345,1.39982,1.38314,1.3988299999999998,-0.005539999999999878,0.016680000000000028,50000,69672.5,1393.45,-276.9999999999939,14385.500000000018,Loss,0.0,-276.9999999999939,43.855000000000175,11492.499999999996,13934.5,895.5999999999985,0.39345
137,2010-10-18 21:00:00+00:00,1.39341,1.37265,1.40042,1.37128,1.399006,-0.02076000000000011,0.029139999999999944,50000,68632.5,1372.65,-1038.0000000000057,13347.500000000013,Loss,0.0,-1038.0000000000057,33.47500000000012,12530.500000000002,13726.5,1103.5999999999985,0.37265
