Price,Close,High,Low,Open,Volume
Ticker,MYM=F,MYM=F,MYM=F,MYM=F,MYM=F
Date,,,,,
2021-06-03,34567.0,34656.0,34311.0,34591.0,115519
2021-06-04,34742.0,34755.0,34472.0,34575.0,78425
2021-06-07,34616.0,34825.0,34558.0,34761.0,70853
2021-06-08,34586.0,34652.0,34431.0,34616.0,91739
2021-06-09,34437.0,34645.0,34425.0,34580.0,64489
2021-06-10,34461.0,34732.0,34388.0,34465.0,94258
2021-06-11,34462.0,34613.0,34313.0,34454.0,38277
2021-06-14,34381.0,34558.0,34202.0,34404.0,25861
2021-06-15,34288.0,34475.0,34192.0,34345.0,19052
2021-06-16,34017.0,34318.0,33900.0,34305.0,14931
2021-06-17,33805.0,34080.0,33611.0,33945.0,16207
2021-06-18,33424.0,33867.0,33424.0,33820.0,150918
2021-06-21,33761.0,33809.0,32902.0,33074.0,141294
2021-06-22,33835.0,33926.0,33626.0,33833.0,97287
2021-06-23,33759.0,33962.0,33752.0,33871.0,74530
2021-06-24,34082.0,34177.0,33759.0,33784.0,88983
2021-06-25,34333.0,34385.0,34133.0,34191.0,80857
2021-06-28,34164.0,34410.0,34067.0,34396.0,73913
2021-06-29,34170.0,34362.0,34113.0,34193.0,67118
2021-06-30,34399.0,34451.0,34005.0,34172.0,76495
2021-07-01,34514.0,34554.0,34376.0,34446.0,65694
2021-07-02,34677.0,34714.0,34484.0,34501.0,67169
2021-07-06,34460.0,34755.0,34241.0,34657.0,127231
2021-07-07,34568.0,34595.0,34320.0,34376.0,93986
2021-07-08,34294.0,34594.0,34003.0,34584.0,179666
2021-07-09,34751.0,34784.0,34139.0,34280.0,98833
2021-07-12,34875.0,34906.0,34547.0,34758.0,95481
2021-07-13,34776.0,34915.0,34748.0,34875.0,90304
2021-07-14,34816.0,34946.0,34666.0,34772.0,90943
2021-07-15,34864.0,34879.0,34594.0,34800.0,113247
2021-07-16,34564.0,34975.0,34517.0,34831.0,103297
2021-07-19,33839.0,34575.0,33623.0,34547.0,228400
2021-07-20,34400.0,34502.0,33843.0,33917.0,160805
2021-07-21,34689.0,34738.0,34361.0,34429.0,110064
2021-07-22,34709.0,34789.0,34558.0,34733.0,97522
2021-07-23,34951.0,34992.0,34738.0,34771.0,89147
2021-07-26,35034.0,35067.0,34652.0,34941.0,97566
2021-07-27,34953.0,35048.0,34762.0,35033.0,134587
2021-07-28,34834.0,35019.0,34750.0,34848.0,117759
2021-07-29,34974.0,35059.0,34774.0,34868.0,86747
2021-07-30,34832.0,34998.0,34756.0,34969.0,119138
2021-08-02,34721.0,35081.0,34695.0,34870.0,108914
2021-08-03,34998.0,35008.0,34601.0,34762.0,116344
2021-08-04,34690.0,35000.0,34675.0,34960.0,98745
2021-08-05,34943.0,34949.0,34665.0,34710.0,76159
2021-08-06,35091.0,35139.0,34882.0,34932.0,69666
2021-08-09,34998.0,35112.0,34939.0,35092.0,71604
2021-08-10,35155.0,35175.0,34923.0,35032.0,74393
2021-08-11,35372.0,35394.0,35106.0,35163.0,91787
2021-08-12,35402.0,35440.0,35254.0,35374.0,68752
2021-08-13,35420.0,35519.0,35381.0,35427.0,69205
2021-08-16,35534.0,35548.0,35148.0,35380.0,107691
